Country Name,Algeria,Sian Arab Republic,Tunisia,Bahrain,Jordan,Libya
2005,107046618669.71,28858965517,32272186695,15968723404,12588998590,47334691241
2006,123084258693.01,33751788856,34376664601,18504760638,15056981664,60094231607
2007,142482739809.85,40465318382,38915353867,21730000000,17110437236,68032978391
2008,180383848331.14,52557913569,44859439902,25710904255,22658715989,86710767415
2009,150317292079.36,54111735629,43455740497,22938218085,24537876056,60808562033
2010,177785053939.53,61390830875,46206091938,26805984043,27133804225,75380825062
2011,218331946925.30,67539428159,48123325825,29914680851,29524149155,48169263294
2012,227143746075.93,43190318033,47311401813,31963404255,31634561690,92540938129
2013,229701430292.16,21361254635,48685446414,33823324468,34454440141,75351107029
2014,238942664192.59,21502061466,50271812921,34772526596,36847643521,57372355592
2015,187493855609.35,16466863117,45779494042,32523297872,38587017887,48717501321
2016,180763839522.15,12597854877,44360072680,33884680851,39892551127,49912073701
2017,189880896903.07,16369843352,42163530591,37204813830,41608435915,67157452182
2018,194554483655.53,21497782868,42686504460,39567978723,43370860704,76686029772
2019,193459662090.68,22583045060,41905642419,40446808511,44503006338,69254496472
2020,164873415325.20,12047752036,42491780918,35837632979,43700383099,46854285441
2021,186231205262.08,14353205678,46812290143,40840212766,46296100141,35217995647
2022,225638456572.14,23622827080,44579761023,46680398936,48764963380,43246297922
2023,247626161016.41,..,48529595417,46079867021,50967475352,45096462972
